tweet_id,theme.reference
1317994671696572417,Cuts
1317952056833974272,Promise
1318003750573797376,Promise
1318003753849479168,Promise
1318025081868615681,Cuts
1319448489093287936,Promise
1317945938904707073,Cuts
1318010264332062720,Cuts
1317981179774074880,Promise
1318007669244874753,Promise
1318007671388135424,Promise
1319435411152723969,Promise
1317787076151156736,Promise
1317648719987175424,Promise
1317707734024966144,Promise
1317722863395172353,Promise
1317734409605279744,Promise
1317767628727963648,Promise
1317703477829644288,Cuts
1317704972927029254,Promise
1317706769016090625,Promise
1317713495958286336,Cuts
1317721501454327810,Promise
1317726297439817733,Promise
1317726728832180224,Promise
1317726952053035010,Promise
1317634685401378816,Promise
1317282703176130562,Promise
1317615616459591682,Promise
1317257923299479553,Other
1317193344569651200,Other
1317287796709584896,Promise
1317322509910372352,Promise
1317373268379095040,Promise
1317373375732350976,Promise
1317389891647336449,Promise
1317397188066955264,Promise
1317612339907063808,Other
1317635910419107843,Promise
1318220787715698688,Other
1318342533303291905,Cuts
1318357090792996864,Promise
1318359294677377025,Other
1318361165416730624,Promise
1318373078896816130,Promise
1318310960415735809,Cuts
1318152917413711874,Promise
1318280765084520451,Promise
1318298100558045184,Promise
1318298102839701504,Promise
1318353086662938624,Promise
1318417834834227200,Promise
1318698842527649792,Cuts
1318698845652492289,Promise
1320162302428016640,Promise
1320168045793345537,Other
1318689563187892224,Promise
1318685403730247680,Promise
1320116911934353408,Other
1318690205793071104,Promise
1318691116170973186,Cuts
1320114593117528064,Cuts
1320142338392387584,Other
1320159240221200384,Promise
1320195156151156736,Promise
1318418282437750785,Cuts
1318652380993368064,Promise
1318670382728060929,Promise
1318675412319285248,Promise
1318499702367752192,Other
1318673352438022146,Promise
1318664956380786688,Promise
1318437935209877504,Promise
1318447105967611904,Cuts
1318483847718293505,Promise
1318642644319375360,Promise
1318642822552055809,Promise
1318439315433836544,Promise
1318108765510463488,Other
1319859278308503552,Promise
1318075931596967937,Cuts
1318137314476912640,Promise
1318104120922796033,Cuts
1318104123523231744,Promise
1318043209004503040,Promise
1318049090043695106,Promise
1318067916760215552,Promise
1318097552466608129,Promise
1319855086286344192,Promise
1318055899785646081,Promise
1318107121909628929,Promise
1320847679467986946,Promise
1318808228361170944,Promise
1318838937691959296,Promise
1319074616334168064,Promise
1319074764430868480,Promise
1320681831176544256,Promise
1320756573480730625,Promise
1320869566558261248,Promise
1320870013713088512,Promise
1320883775606194176,Promise
1320912680329179136,Promise
1320953012190285824,Promise
1319058630860296193,Promise
1320575580509593600,Promise
1318711495811686402,Promise
1318767581642125312,Promise
1320574271840681984,Promise
1320633764209258497,Other
1320656783543660544,Promise
1318718386201714688,Promise
1318727308941799424,Promise
1318739658168176640,Promise
1318755411936251904,Promise
1318741298975772672,Promise
1318762839453085696,Promise
1318765609207947265,Promise
1318795116178415616,Promise
1318801628447690752,Promise
1318786612197613568,Promise
1318786593658908675,Promise
1318787133767778305,Other
1318802629221384193,Promise
1318771996646346752,Promise
1318786195048910848,Promise
1318786423634325506,Promise
1318805613338451968,Promise
1318768462769065984,Promise
1318768973354336256,Promise
1318772311684689923,Promise
1319782996036120576,Promise
1319525955845582850,Cuts
1319528573137571841,Promise
1319787208392413184,Promise
1319809516616118272,Promise
1319840177506824198,Promise
1319848249717592064,Promise
1319568728711835648,Promise
1319475174203248640,Cuts
1319517265788694534,Promise
1319685016792825856,Promise
1319730312423919616,Other
1319798386455764993,Cuts
1321261296222834688,Promise
1320972685279723521,Promise
1321245446392573953,Promise
1320953791106043912,Promise
1321236803576184832,Cuts
1321250415598432257,Promise
1321226183934001152,Cuts
1321192719004299264,Promise
1320964267663740928,Cuts
1320968973178048512,Promise
1320998443783892992,Promise
1321134060916350976,Promise
1321275545905102848,Promise
1322412978340196352,Promise
1322960131529715712,Cuts
1322757499401850882,Promise
1323121970792210432,Promise
1323181552302514176,Promise
1320562863853899776,Promise
1320548630109908992,Promise
1320519478115852289,Promise
1320213496437551104,Cuts
1320211887267565569,Other
1320318939738456067,Promise
1320334794400669696,Promise
1320513524087492608,Cuts
1320554763281285120,Promise
1320554765621682177,Promise
1320558007655092225,Other
1320477866103025664,Promise
1320567215976927232,Cuts
1319484758821236736,Other
1319089306191839232,Promise
1319128406353604609,Cuts
1319432205580464128,Cuts
1319127750360248320,Other
1319184274742968320,Promise
1319133881329659904,Promise
1319164081530572800,Promise
1319082625030471681,Promise
1319142185934057472,Promise
1319143735196696577,Promise
1319322373443801088,Promise
1319088592212418561,Promise
1321751695286624256,Promise
1321656311721783296,Promise
1321708090610212865,Cuts
1321614667828011008,Promise
1321657095347871744,Promise
1321341143741657088,Cuts
1321344503299469313,Cuts
1321483362536579072,Promise
1321527151338815488,Promise
1321601487177306112,Promise
1321644338191818752,Promise
1321716476093501445,Cuts
1321753895253741569,Promise
1321758326485471234,Cuts
1322068313858469888,Promise
1321957439336443905,Promise
1322315898439434241,Promise
1322012886026182659,Promise
1322318518650503168,Promise
1322036341215883265,Promise
1322287943029907456,Promise
1322310213802684416,Cuts
1321904890176696320,Other
1322032255112417280,Promise
1322319902586269697,Promise
1322327076519641089,Promise
1322377955226447873,Other
1322370216425365504,Promise
1322334636928765952,Promise
1322342331664592901,Promise
1322349585424003072,Promise
1322357671329034240,Promise
1322364468764975106,Promise
1322375317965529088,Promise
1322381211319242754,Promise
1322387508504588291,Promise
1322388461966426112,Promise
1322404090354180096,Promise
1322412541914443776,Promise
