tweet_id,theme.fable
1317994671696572417,cuts
1317952056833974272,promise
1318003750573797376,promise
1318003753849479168,promise
1318025081868615681,cuts
1319448489093287936,promise
1317945938904707073,cuts
1318010264332062720,cuts
1317981179774074880,promise
1318007669244874753,promise
1318007671388135424,promise
1319435411152723969,promise
1317787076151156736,other
1317648719987175424,promise
1317707734024966144,promise
1317722863395172353,promise
1317734409605279744,promise
1317767628727963648,promise
1317703477829644288,cuts
1317704972927029254,other
1317706769016090625,other
1317713495958286336,cuts
1317721501454327810,promise
1317726297439817733,promise
1317726728832180224,promise
1317726952053035010,other
1317634685401378816,promise
1317282703176130562,promise
1317615616459591682,promise
1317257923299479553,other
1317193344569651200,other
1317287796709584896,promise
1317322509910372352,promise
1317373268379095040,promise
1317373375732350976,promise
1317389891647336449,promise
1317397188066955264,promise
1317612339907063808,other
1317635910419107843,promise
1318220787715698688,other
1318342533303291905,cuts
1318357090792996864,promise
1318359294677377025,other
1318361165416730624,promise
1318373078896816130,promise
1318310960415735809,cuts
1318152917413711874,promise
1318280765084520451,promise
1318298100558045184,promise
1318298102839701504,promise
1318353086662938624,promise
1318417834834227200,promise
1318698842527649792,cuts
1318698845652492289,promise
1320162302428016640,promise
1320168045793345537,other
1318689563187892224,promise
1318685403730247680,promise
1320116911934353408,other
1318690205793071104,promise
1318691116170973186,cuts
1320114593117528064,cuts
1320142338392387584,other
1320159240221200384,cuts
1320195156151156736,promise
1318418282437750785,cuts
1318652380993368064,promise
1318670382728060929,promise
1318675412319285248,promise
1318499702367752192,other
1318673352438022146,promise
1318664956380786688,promise
1318437935209877504,promise
1318447105967611904,cuts
1318483847718293505,promise
1318642644319375360,promise
1318642822552055809,promise
1318439315433836544,other
1318108765510463488,other
1319859278308503552,promise
1318075931596967937,cuts
1318137314476912640,promise
1318104120922796033,cuts
1318104123523231744,promise
1318043209004503040,promise
1318049090043695106,promise
1318067916760215552,promise
1318097552466608129,promise
1319855086286344192,promise
1318055899785646081,other
1318107121909628929,other
1320847679467986946,promise
1318808228361170944,promise
1318838937691959296,promise
1319074616334168064,promise
1319074764430868480,promise
1320681831176544256,other
1320756573480730625,promise
1320869566558261248,promise
1320870013713088512,promise
1320883775606194176,promise
1320912680329179136,promise
1320953012190285824,promise
1319058630860296193,other
1320575580509593600,promise
1318711495811686402,promise
1318767581642125312,promise
1320574271840681984,promise
1320633764209258497,other
1320656783543660544,promise
1318718386201714688,promise
1318727308941799424,promise
1318739658168176640,promise
1318755411936251904,promise
1318741298975772672,other
1318762839453085696,other
1318765609207947265,promise
1318795116178415616,promise
1318801628447690752,promise
1318786612197613568,promise
1318786593658908675,promise
1318787133767778305,other
1318802629221384193,promise
1318771996646346752,promise
1318786195048910848,promise
1318786423634325506,promise
1318805613338451968,promise
1318768462769065984,promise
1318768973354336256,other
1318772311684689923,other
1319782996036120576,cuts
1319525955845582850,cuts
1319528573137571841,promise
1319787208392413184,promise
1319809516616118272,promise
1319840177506824198,promise
1319848249717592064,promise
1319568728711835648,promise
1319475174203248640,cuts
1319517265788694534,promise
1319685016792825856,promise
1319730312423919616,other
1319798386455764993,cuts
1321261296222834688,promise
1320972685279723521,promise
1321245446392573953,promise
1320953791106043912,promise
1321236803576184832,cuts
1321250415598432257,promise
1321226183934001152,cuts
1321192719004299264,promise
1320964267663740928,cuts
1320968973178048512,promise
1320998443783892992,other
1321134060916350976,promise
1321275545905102848,promise
1322412978340196352,promise
1322960131529715712,cuts
1322757499401850882,promise
1323121970792210432,other
1323181552302514176,promise
1320562863853899776,promise
1320548630109908992,promise
1320519478115852289,promise
1320213496437551104,cuts
1320211887267565569,other
1320318939738456067,promise
1320334794400669696,promise
1320513524087492608,cuts
1320554763281285120,promise
1320554765621682177,promise
1320558007655092225,other
1320477866103025664,other
1320567215976927232,cuts
1319484758821236736,other
1319089306191839232,promise
1319128406353604609,cuts
1319432205580464128,cuts
1319127750360248320,other
1319184274742968320,promise
1319133881329659904,promise
1319164081530572800,promise
1319082625030471681,promise
1319142185934057472,promise
1319143735196696577,promise
1319322373443801088,promise
1319088592212418561,other
1321751695286624256,promise
1321656311721783296,promise
1321708090610212865,cuts
1321614667828011008,promise
1321657095347871744,promise
1321341143741657088,cuts
1321344503299469313,cuts
1321483362536579072,promise
1321527151338815488,promise
1321601487177306112,promise
1321644338191818752,promise
1321716476093501445,cuts
1321753895253741569,promise
1321758326485471234,cuts
1322068313858469888,promise
1321957439336443905,cuts
1322315898439434241,cuts
1322012886026182659,promise
1322318518650503168,promise
1322036341215883265,other
1322287943029907456,promise
1322310213802684416,cuts
1321904890176696320,other
1322032255112417280,promise
1322319902586269697,promise
1322327076519641089,promise
1322377955226447873,other
1322370216425365504,promise
1322334636928765952,promise
1322342331664592901,promise
1322349585424003072,promise
1322357671329034240,promise
1322364468764975106,promise
1322375317965529088,promise
1322381211319242754,promise
1322387508504588291,promise
1322388461966426112,promise
1322404090354180096,promise
1322412541914443776,promise
